Time (s),Processor (degC),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.609701157,58.95183,46.196,33.298
1.610815048,60.52856,46.192,33.298
2.611927986,58.95183,46.17,33.296
3.610532284,60.52856,46.158,33.296
4.611645699,60.52856,46.174,33.294
5.610249996,60.52856,46.19,33.294
6.611363411,60.52856,46.19,33.29
7.609967232,60.52856,46.172,33.282
8.611079693,60.52856,46.14,33.276
9.609683037,60.52856,46.16,33.274
10.610794544,60.52856,46.132,33.272
11.609396935,58.95183,46.13,33.272
12.610508442,60.52856,46.088,33.274
13.611619473,58.95183,46.106,33.274
14.610220432,60.52856,46.042,33.274
